INDEX,NAME,CMC,COST,RARITY,MODIFIER,TYPE,COLOR,ATK,DEF,CARD TEXT,TOPIC,#,FLAVOR TEXT,Summarization,,
38,Parker/Drunk Shachar:,,0,Uncommon,,Creature Egg,Black,0 / 3,3 / 4,"Pay 2 or sacrifice a Food: Place a beer counter on Parker.
If there are 4 or more beer counters on Parker, transform it.
Drunk Shachar:
{3}: Create a food token
Sacrifice a food token: put a +1/+1 counter on Drunk Shachar",IRL,1,,buff,,
39,Skateboard:,1,{1},Uncommon,,Aritfact Eq.,Green,-,-,"Equip {2} 
Equipped creature gets +2/-1 and, ""{1}: this creature gets +1/+1 and gains haste until end of turn""",IRL,1,,,,
40,Guitar:,1,{1},Uncommon,,Artifact Eq.,Colorless,-,-,"Equip {2}
Equipped creature gets first strike and, ""{2}: this creature gets +1/+1 until end of turn.""",IRL,1,,Kill,,
41,Do Over:,5,{3}{d}{d}{d},Rare,Legendary,Instant,Black,-,-,Take another combat phase after this one.,LOL,2,,Minion,,
42,(or go to the ability above)One more time:,4,{2}{w}{w},Rare,,Instant,White,--,-,"Counter a card named Do Over. 
Target creature gains Double Strike until end of turn.",LOL,2,,,,
43,Welcome To Zaun(siege)/Ekko:,0,{0},,,Creature Egg,Blue/Black,0 / 7,4 / 5,"Pay {3}{u/b}{u/b}{u/b}: Transform Zaun to Ekko. When you do, you may take card from your graveyard and put it into your hand.
Ekko has {2}{u/b}: Regenerate.",LOL,1,,Minion,,
44,Jungle Invasion:,3,{2}{b/g},,,Instant - EVENT,Green/Black,-,-,"Lasts 1 rotation
{2}: The next creature you cast may be cast as though it has Flash. Any player may activate this ability.",LOL,2,,,,
45,Inting:,3,{2}{w},Rare,,Enchantment,White,-,-,All creatures target opponent controls must attack this turn.,LOL,2,,,,
46,FF15:,5,{u/b}{u/b}{u/b}{u/b}{u/b},Mythical,Legendary,Instant,Black/Blue,-,-,Target player loses the game unless they attack with all of their creatures for the next two turns.,LOL,1,,Minion,,
47,Nasus' fat stacks:,2,{b}{b},,,Sorcery,Black,-,-,Create a Treasure and a Weapon.,LOL,2,,Buff,,
48,Thievery,2,{w/r}{w/r},,,Instant,White/Red,-,-,Gain control of target creature until end of turn. Untap it. It gains haste until end of turn.,IRL,1,,,,
49,Morgana's Stun:,3,{2}{b},Common,,Sorcery,Black,-,-,"Tap target creature.
Prolong target Event by 2 turns.",LOL,3,,Buff,,
50,Shaco:,5,{4}{b},,,Creature,Black,7,4,"{1}{b}{b}: Shaco gains Shadow until end of turn.
{1}{b}, {t}: Create a 1/1 Black Decoy creature token. If Shaco has Shadow, put a +1/+1 counter on it.",LOL,1,,Kill,,
51,gbargain,,no need ig,,,Artifact Eq./Creature,Black,,,,PB,0,,Minion,,
52,Big Oven,5,{3}{r}{r},Mythical ,Morning,Sorcery,Red,-,-,"Big Oven deals 5 damage spread among up to 3 targets.
For each creature dealt damage this way which dies this turn, create a Food.",IRL,3,,,,
53,ST:,4,{4},,,Enchantment,Colorless,,,"Enchant equipment
Enchanted equipment gains, ""Equipped creature gets +2/+2. If equipped creature is equipped with 2 or more ST-enchanted items, it gains +3/+3. Worth 3""
Donate
",ROTMG,4,,Buff,,
54,UT:,4,{4},,,Enchantment,Colorless,,,"Enchant equipment
Enchanted equipment gains, ""Equipped creature gets +2/+2"" and Worth 3
If enchanted equipment is removed from a creature, start an Event for as long as this equipment is unequipped with, ""enchanted equipment can be gained control of for 2 treasure"".",ROTMG,3,,Minion,,
55,Speed pot:,1,{g/u},Common,,Instant,Colorless,,,Target creature gets +1/+0 and haste until end of turn.,ROTMG,2,,M/B/K,,"Pay 4: Los Pollos Hermanos:mmmmmmmmmmmmmmmmmmmmm chiken make u go big big boom boom
U bargain your chicken (+2/+2) for a custom bargain of your choice with your target player, if it succeeds, you gain 2 food tokens
Pay 7: You implode on sight AAAAAAAAAAAAAAAAAAAAA choose 2 creatures to exile"
56,Dex pot:,3,{r/w}{r/w}{r/w},Common,,Sorcery,Colorless,,,Target creature gains double strike until end of turn.,ROTMG,2,,,,
57,GLife pot:,1,{u/b},Uncommon,,Sorcery,Colorless,,,Target creature gains lifelink until end of turn.,ROTMG,2,,,,
58,GAtk pot:,1,{r/b},Uncommon,,Sorcery,Colorless,,,Target creature gets +3/+0 and trample until end of turn.,ROTMG,2,,,,
59,"Yossi, Calculated Manip:",4,{2}{w/u}{w},Rare,,Creature,White,4,2,"When Yossi enters the battlefield, scry 1 and draw a card.
{t}, sacrifice a Treasure: counter target spell.",IRL,2,,,,
60,Saul goodman:,2,{w}{w},Rare,Legendary,Insant,White,-,-,"Both you and target opponent each make X Foods, Y Treasures, and Z Weapons, where X+Y+Z=3.",BB,1,,,,
61,DO IT JESSE:,3,{1}{r}{r} ,Uncommon,,Sorcery,Red,,,"You call in Pinkman to do your bidding (choose one):
-destroys target creature
-target creature gets +4/-2 until end of turn
-Create 2 Treasures",BB,1,,,,
62,Heisenburg:,4,{1}{r}{r}{r},Rare,Legendary,Creature,Red,3,2,"Lifelink, Deathtouch
{2}: give target creature +2/-1 until end of turn",BB,1,,,,
63,"Mike, Grandfather",6,{3}{u}{u}{u},Mythical,Legendary,Creature,Blue,6,2,"When Mike, Grandfather enters the battlefield, you may sacrifice a Treasure. If you do, create a Weapon.
Sacrifice a Weapon: Mike, Grandfather deals damage equal to his power to target creature.",BB,1,,Buff,,
64,"Gus Fring, Auspicious Owner",5,{3}{w/b}{w/b},Mythical,Legendary,Creature,White/Black,4,6,"{2}, sacrifice a Treasure: make a Food. Any player may activate this ability; if that player doesn't control Gus, Gus's controller makes a Treasure.
At the end of your endstep, if you have donated at least 2 Food, draw a card.
{7}, sacrifice Gus: Destroy up to 2 target creatures and 1 target artifact.",BB,1,,,,
65,Men,2,{1}{w},Rare,,Insant,White,-,-,"Choose 1-
Counter target spell 
Make target creature's base power and toughness 1/1 until end of turn and create a 1/1 Assaf creature token.",IRL,2,"""... men are weak.""",,,
66,Kon: (kill character and lose health/perma lose 1-2 hp from a certain mob),3,{r/b}{r/b}{r/b},Rare,,Sorcery,Red/Black,-,-,"Destroy target creature.
Strive {1}, 2 life",ANIME,2,,,,
67,Ligma Balls:,3,{w/u}{b/u}{u},Mythical,,Sorcery,Blue,-,-,"Exile target creature.
If an Event is occurring, its controller loses 3 life.",IRL,3,"""Who the hell is Steve Jobs..?""",Buff,,
68,Cessna TTx:,5,{5},Common,,Creature M,Colorless,3,3,"Flying
Donate
If you donate Cessna TTx, target creature you control gains flying until end of turn.",IRL,2,,,,
69,Piper M350:,6,{4},Common,,Creature M ,Colorless,4,3,"Flying
Donate
If you donate Piper M350, target creature you control gains deathtouch until end of turn.",IRL,2,,,,
70,Haim's Battlecar,6,{6},Common,,Creature M,Colorless,3,2,"Flying, Haste
When Haim's Battlecar enters the battlefield, create 2 Foods.",IRL,2,,,,
71,Cessna 172:,5,{4}{r},Common,,Creature M,Colorless,4,4,"Flying
Donate
If you donate Cessna 172, target creature you control gains hexproof until end of turn.",IRL,2,,,,
72,G36 Bonanza:,5,{4}{w},Common,,Creature M,Colorless,5,5,"Flying
Donate
If you donate G36 Bonanza, target creature you control gains lifelink until end of turn..",IRL,2,,,,
73,G-BUCH:,6,{4}{r/w}{r/b},Uncommon,,Creature M,Colorless,7,2,"Flying
Kamekaze: {2}, pay 2 life, and sac to kamikaze target creature, inflicting the attack power of this card",IRL,2,,,,
74,"Arms: (workout shachar, potential enchatment)",3,{r/w}{r/w}{r/w},Uncommon,,Enchantment,White/Red,,,"Enchant creature
Enchanted creature gets +4/+4.
Sacrifice a Food token: enchanted creature gets +1/+1 until end of turn.",IRL,3,,,,
75,The Eclipse:,5,,Rare,,SPECIAL EVENT,White/Black,-,-,"Lasts 1 rotation
All creatures have deathtouch.
At the end of given player's turn, if a creature they controlled died, they may search their graveyard or deck for a card which starts an Event and put it into their hand.",FRANKEN,1,,,,
76,Eclipson:,6,{5}{u},Mythical,Legendary,Creature,Blue,*+3,*+3,"Eclipson's power and toughness are each equal to 3 plus the number of active Events and Events in graveyards.
{3}: Start an Event that lasts 1 turn with, ""Blue creatures get +1/+1.""
{3}{u}, sacrifice a Treasure: Search your deck for a card which starts an Event and put it into your hand.",FRANKEN,2,,Minion,,
77,Dragon,8,{5}{r}{r}{r},Rare,,Creature,Red,9,9,"Flying, Haste
{2}{r}{r}: Dragon gets -1/-1 until end of turn and deals 5 damage split among at most 3 target creatures.",FRANKEN,1,,,,
78,Fire Shield from franken:,2,{2},,,Artifact Eq.,Colorless,,,"Equip {4}
Equipped creature gets +0/+2 and has reach and protection from red.",FRANKEN,1,,,,
79,Grey Cone:,2,{2/b}{2/b},Common,Flying,Creature,Colorless,2,3,,FRANKEN,2,,Buff,,
80,Mr3:,3,{g}{g}{g},Uncommon,,Creature,Green,3,3,"{1}{g}, {t}: pick one-
-give target creature +0/+3 until end of turn
-give target creature +3/+0 until end of turn
-deal 3 damage distributed among any targets",FRANKEN,3,,,,
81,Galaxy Rail,3,{1}{w/u}{w/u},Common,,Enchantment,White,-,-,"Enchant creature
Enchanted creature gets +2/+2, flying, and donate.",FRANKEN,2,,,,
82,spider,4,{2}{g/r}{g/r},Uncommon,,Creature,Colorless,2,3,"When spider enters the battlefield, put a -1/-1 counter on each other Spider on the battlefield.",FRANKEN,3,,,,
83,The Gin,2,{b}{b},Uncommon,,Enchantment,Blue,-,-,"Enchant creature
At the beginning of your upkeep, flip a coin. If heads, tap enchanted creature.
Worth 1",IRL,2,,Minion,,
84,Senbonzakura Kageyoshi:,3,{w}{w}{w},Uncommon,,Instant,White,-,-,Deal 2 damage to all creatures you don't control.,,3,,,,
85,BANKAI:,5,{3}{g}{g},Uncommon,,Sorcery,Green,-,-,"Target creature gains +5/+5, trample, and first strike until end of turn.",ANIME,2,,Buff,,
86,Aizen's Hogyoku,2,{u}{u},Mythical,,Instant,Blue,-,-,"Scry 2 for target player, then Scry 2.",ANIME,2,,,,
87,You Have No Enemies,2,{w/r}{w/u},Mythical,,Instant,Blue/White,-,-,Prevent all damage that would be dealt to you this turn.,ANIME,1,,Kill,,
88,Bellick:,2,{u/b}{w/b},Uncommon,,Creature,Blue/Black/White,2,3,"{t}, sacrifice a Food, Weapon, or Treasure: Create a Food, Weapon, or Treasure.
Whenever a a Food, Weapon, or Treasure is placed on the battlefield under a player's control, you may put a -1/-1 counter on Bellick. If you do, gain control of that token.",PB,3,,Nerf,,
89,Prisoners:,1,{2/r},Common,,Creature,Colorless,1,1,"When Prisoners enters the battlefield, create a Weapon.
Sacrifice a Treasure: Prisoners gets +2/+0 until end of turn.",PB,7,,,,
90,Ent:,4,{g}{g}{g}{g},Mythical,Legendary,Creature,Green,3,5,"Defender
{t}, place a -1/-1 counter on Ent: create a 1/1 Entling Elemental Forest token.
Tap an Elemental you control: Ent may attack as though it doesn't have defender and gains trample until end of turn.",BOOK,3,,,,
91,Urgals:,3,{b/g}{b/g}{b/g},Uncommon,,Creature,Black/Green,4,3,"Trample
Bloodrush {3}{b/g}",BOOK,5,,Kill,,
92,Kull:,3,{b/r}{b/r}{b/r}{b/r},Rare,,Creature,Black/Red,6,5,{1}{b}{b}: Kull gains trample until end of turn.,BOOK,4,,Minion,,
93,Blodgarm:,5,{3}{g}{g},Rare,,Creature,Green,6,3,"Bloodrush {4}{g}{g}
{t}: Search your deck for a creature with converted mana cost 3 or less and place it on the battlefield, then shuffle your deck.
If you Bloodrush Blodgarm, you may perform its tap ability as you do so.",BOOK,1,,,,
94,Armin,4,{2}{u/r}{u/r},Rare,,Creature,Blue/Red,4,2,"{6}{u/r}{u/r}: Monstrosity 5
When Armin becomes monstrous, he deals 3 damage to all other creatures and destroys all Foods, Treasures, and Weapons.",AOT,1,,Minion,,
95,Uh (smiling friends),3,{2}{r},Common,,Sorcery,red,-,-,Destroy target creature unless its controller chooses to lose 4 life.,TV,2,,Minion,,
96,do that again and ill punch you (punching demon),1,{u/b},Common,,Instant,Blue,-,-,"Players may attack with at most one creature until end of turn.
If an Event is occurring, draw a card.",TV,3,,Minion,,
97,Do That Again.,3,{1}{b}{b},,,Instant,Black,-,-,Exile target spell in any graveyard. You use mana as though it were mana of any color to cast the copy.,TV,2,,Buff,,
98,FINANCE,,,Uncommon,,SPECIAL EVENT,Black/Red,,,"Lasts 1 rotation
All permanents have Worth 1.
Whenever a Worth ability is activated by a player, they may then pay {X} and gain control of target creature with converted mana cost with converted mana cost X.",TV,1,,Minion,,
99,DIGITAL STYLE,,,Uncommon,,SPECIAL EVENT,White/Black,,,"Lasts 2 rotations
Equipment and Aura spells may be cast and equipped at any time.",TV,1,,,,
100,NO.. YEAH,1,{u/r},,,Instant,Blue/Red,,,"This spell can't be countered.
Destroy target creature. Its controller gains life equal to the sum of its power and toughness.",TV,2,,Nerf,,
101,Put Some Back,6,{4}{b}{b},Mythic,,Instant,Blue,-,-,Return target creature from your graveyard to the battlefield defending target attacking creature.,TV,1,"""You took too much... put some back.""",Buff,,
102,Nappa,5,{3}{r/b}{w/r},Rare,Trample,Creature,Red,5,5,"Flying
If a card named Vegeta and Nappa both attack, Nappa gets +2/+1 until end of turn.",ANIME,1,"""Vegeta? Vegeta? Vegeta? Ve-""",,,
103,imJarons,3,{2}{b},Uncommon,,Creature,Blue,1,2,"{t}: Add one mana of any color to your mana pool.
Whenever an opponent creates a Food, create a Food.
You may sacrifice 2 Food rather than pay imJarons' mana cost.",ANIME,2,,Buff,,
104,Muffin Button,2,{w}{w},Rare,,Instant,White,-,-,Create 2 Food tokens. Target creature protection from target color until end of turn.,ANIME,2,,,,
105,Perfect Cell,3,{g/r}{g/r}{r/b},Mythical,,Creature,Green,1,1,"Sacrifice a creature, 2 Food, or 2 Weapons: put a +1/+1 counter on Perfect Cell. 
If there are four or more +1/+1 counters on Perfect Cell, has flying. 
If there are 6 or more, Perfect Cell has First Strike. 
Remove a +1/+1 counter from Perfect Cell, sacrifice a Food, {t}: create a copy of Perfect Cell and place it under your control.",ANIME,1,,,,
106,Vegeta (stronger everytime he almost dies),2,{r}{b/r},Mythical,Legendary,Creature,Red,2,3,"At your end step, if Vegeta blocked a creature this turn, put a +1/+1 counter on him.
If a card named Nappa and Vegeta both attack, Vegeta gains flying and +2/-2 until end of turn.",ANIME,1,,,,
107,EZ CHECK,,,Instant - EVENT,,Instant - EVENT,Green,-,-,"Lasts 1 turn
Each player may tap 2 creatures. Each time the did not, they lose 2 life. If they did tap 2, they make a Food.
",IRL,4,,,,
108,Instant Transmission ,1,{w/u},Uncommon,,Instant,White/Blue,,,"Return target permanent to its owner's hand.
If an Event is occurring, draw a card.",ANIME,3,,,,
109,Haim,1,{w/r},Mythical,Legendary,Creature,White,1,3,"{2}, sacrifice a Treasure: make a food token. Any player may activate this ability; if that player doesn't control Haim, Haim's controller makes a Treasure. If a card named Haim's Battlecar is on the battlefield, Haim gets +1/+1 and makes 2 food instead.",IRL,1,,,,
110,Barbeque Bacon Burger,2,{1}{u/r},Rare,,Sorcery,Blue/Red,,,"Create 5 Foods.
Target player gains control of two.",IRL,3,,Minion,,
111,Terminator,5,{g}{g}{g}{g}{g},Mythical,,Creature,Green,5,5,"Intimidate
When Terminator enters the battlefield, create a Weapon.
If a Weapon you control would deal damage, it deals twice that much instead.",TV,1,,,,
112,Social Credit Score,,,Instant - EVENT,,SPECIAL EVENT,Red,-,-,"Lasts 2 rotations
When this Event begins, each player makes a Food.
At the beginning of each player's upkeep, they take 3 damage if they have less than 2 Foods.",IRL,2,,,,
113,Son of Gondor,3,{1}{w/g}{w/g},Rare,,Creature,White,3,3,{3}: Son of Gondor gains +1/+1 and Double Strike until end of turn. Sacrifice Son of Gondor at the end of combat.,IRL,1,,,,
114,Nadal's Ass,3,{2}{u},Uncommon,,Creature,Blue,2,4,"Persist
Sacrifice a Treasure: Djokovic gets +1/+1 until end of turn.",IRL,2,,Buff,,
115,Djokovic,4,{3}{g},Uncommon,,Creature,Green,3,3,"First Strike, Hexproof",IRL,1,,,,
116,But Nobody Came,5,{3}{b}{b},Mythical,Legendary,Sorcery,Black,,,Destroy all creatures and exile all cards in all graveyards. Each player creates a Weapon.,UNDER,1,,Kill,,
117,Flowey / Omega Flowey,4,{2}{w/b}{w/b},Mythic,Legendary,Creature,White/Black,2,3,"{6}{w/b}{w/b}{w/b}, sacrifice a Food or Weapon: Monstrosity 6. When Flowey becomes monstrous, return up to 3 target creatures to their owner's hand and create 3 1/1 Plant creature tokens with deathtouch.",UNDER,1,,,,
118,Frisk / Chara,3,{1}{w/b}{w/b},Rare,,Creature,White/Black,1,5,"If Frisk dealt combat damage to a player or a creature, put a genocide counter and +1/-1 counter on it. If a creature it dealt damage to dies this turn, put a genocide counter on it.
Remove 3 genocide counters from Frisk: remove all +1/-1 counters from Frisk and transform it.",UNDER,1,"Chara: 3/3, double strike.
Sacrifice a creature you control: Chara gains +2/-2 until end of turn.",,,
119,Sans,1,{w/b},Uncommon,,Creature,White/Black,1,1,"{w/b}: Regenerate Sans
{w/b}: Sans deals 1 damage to target creature or player
{3}{w/b}, {t}: Create a 2/1 white and black Gaster Blaster artifact token",UNDER,1,,,,
120,Undyne the Undying,3,{w}{w/u}{w/u},Rare,,Creature,White/Blue,4,2,"Haste, Indestructible",UNDER,1,,,,
121,Avishai,2,{1}{b},Common,,Creature,Blue,2,2,Tap Avishai: create a Food and return Avishai to its owner's hand,IRL,1,,Buff,,
122,The Name of the Wind,,{2}{w/b}{w/b},Rare,,Instant,White/Red,,,"Each player shuffles their hand into their library and draws that many cards. You draw X cards, where X is how well you know the wind. Put The Name of the Wind X cards from the top or bottom of your library and increase the number of names you know by 1.
Creatures you control have haste and flying until end of turn.
",BOOK,2,,,,
123,Soulbound,,{1}{u/r}{u/r},Uncommon,,Enchantment,Blue/Red,,,"Whenever a player activates a donate ability, they lose 1 life.
Whenever a player begins an Event, they gain 1 life.",ROTMG,2,,,,
124,My Shredder,,{3},Uncommon,,Artifact,White,,,"{t}: Destroy target artifact. If it was a token, create a Treasure, Food, or Weapon.
Worth 1",TV,2,,,,
125,Stop Talking About Anime,3,{3},,,Instant,Colorless,-,-,"If a creature you controlled died this turn, you may search your graveyard or deck for a card which starts an Event and put it into your hand.
Storm",IRL,3,,,,
126,Who is he- (could be either mob ??? OR spot in Black mode like a scary character) ,3,{3},Legendary,,Sorcery,Colorless,-,-,"Target player chooses a card from their hand and places it face down. You do the same. Without revealing the cards to anyone, you each take the other's card and put it into your hand. All colors on those cards become Colorless.",ANIME,2,,,,
127,I DONT DRINK COLA ZERO,5,{3}{u}{u},Legendary,,Enchantment,Blue,,,"If your health is below 5, all creatures you control gain haste, first strike, and deathtouch.",IRL,2,,Minion,,
128,Mr. Frog,2,{g/b}{g/b},,,Creature,Green/Black,2,2,Lifelink,TV,3,,,,
129,T-1000 (terminator 2),5,{4}{p/u},,,Artifact Creature,blue,5,3,"{2}{p/u}:  T-1000 becomes unblockable until end of turn.
When T-1000 enters the battlefield, create a Weapon.
If a Weapon you control would deal damage, it deals twice that much instead.",TV,2,,Kill,,
130,I Remember Halloween,5,{5},,,Artifact,Colorless,,,"{t}, sacrifice a Treasure: counter target instant or sorcery.",IRL,2,"""Halloween! Halloween! Halloween!""",,,
131,Hiroyuki Sawano,4,{3}{w},Mythical,Legendary,Creature,White,4,2,"{5}: Create a Treasure. Deal 4 damage to split among any target.
Vigilance",IRL,1,,,,
132,Gun of Sondor,3,{3},Rare,,Artifact Equipment,Colorless,,,"Equip {2}: 
Equipped creature has, ""{2}, {t}, this creature deals damage to target creature equal to this creature's power.""",IRL,2,,,,
133,Log #8: The Abyss,3,{b}{b}{b},Rare,,Sorcery,Black,,,"As an additional cost to Log #8, exile target creature you control. You may exile another target creature you control. If you do, this spell can't be countered. 
Exile target creature. Its controller loses health equal to its power.",IRL,1,,Minion,,
